,tconst,titleType,primaryTitle,isAdult,startYear,endYear,genres,directors,weight_average,cast,director_name
1486,tt6294822,movie,thepost,0,2017,\n,"drama,thriller",nm0000229,7.194502416027517,"'merylstreep', 'tomhanks', 'bobodenkirk', 'sarahpaulson'",'stevenspielberg'
1487,tt1253864,movie,immortals,0,2011,\n,"action,drama,fantasy",nm0802248,6.464989566588763,"'johnhurt', 'mickeyrourke', 'stephendorff', 'henrycavill'",'tarsemsingh'
1488,tt0032910,movie,pinocchio,0,1940,\n,"animation,comedy,family","nm0730860,nm0527217,nm0373429,nm0414144,nm0789313,nm0272568,nm0455741",7.305892823445048,"'melblanc', 'dickiejones', 'christianrub', 'donbrodie'",'billroberts'
1489,tt1399683,movie,winter'sbone,0,2010,\n,"drama,mystery",nm0335138,7.137793054885213,"'johnhawkes', 'garretdillahunt', 'jenniferlawrence', 'isaiahstone'",'debragranik'
1490,tt1188729,movie,pandorum,0,2009,\n,"action,horror,mystery",nm0023355,6.903931393006925,"'dennisquaid', 'benfoster', 'camgigandet', 'antjetraue'",'christianalvart'
1491,tt0099077,movie,awakenings,0,1990,\n,"biography,drama",nm0001508,7.52074459432821,"'robertdeniro', 'juliekavner', 'robinwilliams', 'ruthnelson'",'pennymarshall'
1492,tt1129442,movie,transporter3,0,2008,\n,"action,crime,thriller",nm0576298,6.5313143758617285,"'robertknepper', 'jasonstatham', 'françoisberléand', 'natalyarudakova'",'oliviermegaton'
1493,tt3647998,tvseries,taboo,0,2017,\n,"drama,mystery,thriller","nm0257775,nm0638679",7.823737989644643,"'jonathanpryce', 'davidhayman', 'richarddixon', 'tomhardy', 'leobill'",'andersengström'
1494,tt1279935,movie,datenight,0,2010,\n,"comedy,crime,romance",nm0506613,6.658989190743988,"'markwahlberg', 'tarajip.henson', 'stevecarell', 'tinafey'",'shawnlevy'
1495,tt0408790,movie,flightplan,0,2005,\n,"drama,mystery,thriller",nm0777881,6.659001912268352,"'jodiefoster', 'seanbean', 'petersarsgaard', 'katebeahan'",'robertschwentke'
1496,tt0330793,movie,thepunisher,0,2004,\n,"action,crime,drama",nm0378144,6.721822513966607,"'johntravolta', 'samanthamathis', 'thomasjane', 'lauraharring'",'jonathanhensleigh'
1497,tt0443274,movie,vantagepoint,0,2008,\n,"action,drama,thriller",nm0871428,6.8445416851236835,"'dennisquaid', 'brucemcgill', 'forestwhitaker', 'matthewfox'",'petetravis'
1498,tt2692904,movie,locke,0,2013,\n,drama,nm1140275,7.137939020045207,"'andrewscott', 'tomhardy', 'oliviacolman', 'ruthwilson'",'stevenknight'
1499,tt1528100,movie,exodusgodsandkings,0,2014,\n,"action,adventure,drama",nm0000631,6.467117096147022,"'sigourneyweaver', 'benkingsley', 'christianbale', 'joeledgerton'",'ridleyscott'
1500,tt1568338,movie,manonaledge,0,2012,\n,"action,crime,thriller",nm1300606,6.844689413088666,"'samworthington', 'jamiebell', 'elizabethbanks', 'mandygonzalez'",'asgerleth'
1501,tt0804497,movie,it'skindofafunnystory,0,2010,\n,"comedy,drama,romance","nm0281396,nm1349818",7.137965009043218,"'emmaroberts', 'zachgalifianakis', 'keirgilchrist', 'danadevestern'",'ryanfleck'
1502,tt3104988,movie,crazyrichasians,0,2018,\n,"comedy,drama,romance",nm0160840,7.022861298484278,"'michelleyeoh', 'gemmachan', 'constancewu', 'henrygolding'",'jonm.chu'
1503,tt1389137,movie,weboughtazoo,0,2011,\n,"comedy,drama,family",nm0001081,7.137992802069662,"'thomashadenchurch', 'mattdamon', 'scarlettjohansson', 'ellefanning'",'cameroncrowe'
1504,tt0387808,movie,idiocracy,0,2006,\n,"adventure,comedy,sci-fi",nm0431918,6.844924757873907,"'lukewilson', 'terrycrews', 'daxshepard', 'mayarudolph'",'mikejudge'
1505,tt0034492,movie,bambi,0,1942,\n,"animation,drama,family","nm0359457,nm0942687,nm0766402,nm0730860,nm0204190,nm0373871,nm0035899,nm0019282,nm0314671",7.25022034155853,"'hardiealbright', 'stanalexander', 'bobetteaudrey', 'peterbehn'",'davidhand'
1506,tt0118842,movie,chasingamy,0,1997,\n,"comedy,drama,romance",nm0003620,7.194464789373297,"'scottmosier', 'joeylaurenadams', 'benaffleck', 'ethansuplee'",'kevinsmith'
1507,tt4116284,movie,thelegobatmanmovie,0,2017,\n,"action,animation,comedy",nm0003021,7.250207488967773,"'ralphfiennes', 'rosariodawson', 'michaelcera', 'willarnett'",'chrismckay'
1508,tt2066051,movie,rocketman,0,2019,\n,"biography,drama,music",nm0002077,7.2501961303241425,"'jamiebell', 'brycedallashoward', 'taronegerton', 'richardmadden'",'dexterfletcher'
