,nconst,primaryName,knownForTitles
1212,nm0446314,david patrick kelly,"tt4093826,tt0116830,tt0418689,tt0109506"
1213,nm0595631,d.w. moffett,"tt0328538,tt0117737,tt0181865,tt0758745"
1214,nm0000110,kenneth branagh,"tt0116477,tt0097499,tt3402236,tt0107616"
1215,nm0141697,jim carter,"tt0138097,tt3371366,tt0088286,tt1606375"
1216,nm0664499,adrian pasdar,"tt0093605,tt0092099,tt0813715,tt0106519"
1217,nm0415498,steven-charles jaffe,"tt0114558,tt0093605,tt0099653,tt0102975"
1218,nm0000099,patricia arquette,"tt0412175,tt0108399,tt1065073,tt0145531"
1219,nm0000547,alfred molina,"tt0175880,tt0316654,tt0241303,tt0120679"
1220,nm0939378,victor wong,"tt0093389,tt0090728,tt0093777,tt0100814"
1221,nm0000705,robin wright,"tt0109830,tt0093779,tt0442933,tt0217869"
1222,nm0823563,mike starr,"tt0098554,tt0100150,tt0109707,tt0109686"
1223,nm0379200,paul herman,"tt0113277,tt1045658,tt1800241,tt1302006"
1224,nm0772829,arne schmidt,"tt0319061,tt0277434,tt0093870,tt1846589"
1225,nm0486979,steve lanning,"tt0078346,tt0075784,tt0080684,tt0083987"
1226,nm0722451,jennifer rhodes,"tt0413573,tt0115082,tt0097493,tt0158552"
1227,nm0000656,madeleine stowe,"tt0144214,tt0104691,tt0108122,tt0114746"
1228,nm0364680,estelle harris,"tt0435761,tt0098904,tt0120363,tt0328880"
1229,nm0000355,anthony daniels,"tt0076759,tt2488496,tt0080684,tt0086190"
1230,nm0048652,kenny baker,"tt0080678,tt0080684,tt0081633,tt0121766"
1231,nm0835329,joe strummer,"tt0097940,tt1032755,tt0119229,tt1228705"
1232,nm0614013,james m. muro,"tt0111503,tt0375679,tt0296572,tt0096754"
1233,nm0001331,todd haynes,"tt0120879,tt0297884,tt0368794,tt2402927"
1234,nm0001498,john mahoney,"tt0106004,tt0817177,tt0093565,tt0101410"
1235,nm0797150,casey siemaszko,"tt0092005,tt0096487,tt0088763,tt0096874"
1236,nm0889447,jeffrey james varab,"tt2103281,tt0082406,tt0112642,tt0120913"
1237,nm0166611,clare clifford,"tt0970468,tt0485301,tt0482546,tt0056751"
1238,nm0001290,richard e. grant,"tt0094336,tt0280707,tt4595882,tt0102070"
1239,nm0852965,noah taylor,"tt0181875,tt0117631,tt0362270,tt0259711"
1240,nm0578853,ben mendelsohn,"tt3748528,tt1313092,tt1345836,tt1677720"
1241,nm0371249,terry hayes,"tt0082694,tt0120681,tt0097162,tt0089530"
1242,nm0593294,doug mitchell,"tt0366548,tt0112431,tt1392190,tt0097162"
1243,nm0528164,will lyman,"tt0404203,tt0327056,tt0133952,tt0114906"
1244,nm0318481,nancy giles,"tt0094737,tt3715320,tt0096463,tt0139668"
1245,nm0001339,marg helgenberger,"tt0247082,tt0114508,tt0195685,tt0385267"
1246,nm0342881,harry groener,"tt0257044,tt4731136,tt0129290,tt0118276"
1247,nm0787687,matt shakman,"tt0944947,tt2802850,tt0472954,tt0804503"
1248,nm0170550,gary cole,"tt0415306,tt0364725,tt0151804,tt0265459"
1249,nm0932112,mykelti williamson,"tt2671706,tt0113277,tt0109830,tt4094724"
1250,nm0027199,michael j. anderson,"tt0105665,tt0319969,tt0098936,tt0166924"
1251,nm0109773,david brisbin,"tt0120669,tt0105665,tt0195685,tt0113627"
1252,nm0665123,robert pastorelli,"tt0116213,tt0092644,tt0117038,tt0099348"
1253,nm0396183,john hostetter,"tt0091187,tt0092644,tt0216651,tt0093640"
1254,nm0567881,mac mcdonald,"tt0096895,tt0454824,tt0119116,tt0227984"
1255,nm0424253,danny john-jules,"tt0187738,tt0091419,tt0896872,tt0120735"
1256,nm0582418,laurie metcalf,"tt0114709,tt0094540,tt0120082,tt4925292"
1257,nm0301959,johnny galecki,"tt0094540,tt0097958,tt0120241,tt0898266"
1258,nm0574540,michael mcshane,"tt0151804,tt0120623,tt0102798,tt0157503"
1259,nm0381155,jason hervey,"tt0093560,tt0094582,tt0089791,tt0088763"
1260,nm0212939,ron dean,"tt0088847,tt0468569,tt0106977,tt0094602"
1261,nm0342045,michael grillo,"tt1843866,tt0478970,tt0077416,tt0948470"
1262,nm0645795,charles okun,"tt0090022,tt0077416,tt0113117,tt0285531"
1263,nm0368069,richard hashimoto,"tt0086567,tt0099487,tt0091225,tt0105415"
1264,nm0000285,alec baldwin,"tt1230414,tt0104348,tt0318374,tt0407887"
1265,nm0256890,lena endre,"tt1132620,tt4649466,tt1343097,tt1560747"
1266,nm0000420,valeria golino,"tt0095953,tt0107144,tt8613070,tt0102059"
1267,nm0001143,kevin dillon,"tt0091763,tt0094761,tt0409182,tt0101761"
1268,nm2034297,anna katarina,"tt0796366,tt1645170,tt0103776,tt0119174"
1269,nm0672459,david webb peoples,"tt0114746,tt0083658,tt0105695,tt0120157"
1270,nm0746273,charles roven,"tt0451279,tt1800241,tt0468569,tt0114746"
1271,nm0121117,mark burg,"tt0387564,tt0251160,tt0094812,tt0369179"
1272,nm0434922,sheldon kahn,"tt0073486,tt0089755,tt0110216,tt0120828"
1273,nm0456946,david kirschner,"tt0264616,tt0107120,tt0094862,tt0090633"
1274,nm0006535,doug hutchison,"tt0450314,tt0120689,tt0277027,tt0235737"
1275,nm0000439,neil patrick harris,"tt4834206,tt0460649,tt2267998,tt0120201"
1276,nm0004883,tate donovan,"tt0822854,tt4034228,tt1024648,tt0119282"
1277,nm0005377,sam rockwell,"tt5027774,tt1931533,tt1182345,tt0270288"
1278,nm0051862,lisa banes,"tt0096487,tt0094889,tt2267998,tt4731136"
1279,nm0061003,paul bates,"tt0298203,tt0094898,tt0091167,tt0108399"
1280,nm0269936,feather,tt0094898
1281,nm0325358,mark goldblatt,"tt0103064,tt0376994,tt0111503,tt0120201"
1282,nm0165101,patricia clarkson,"tt1130884,tt0297884,tt0340377,tt0120689"
1283,nm0004840,alice cooper,"tt1077368,tt0105793,tt0093777,tt1877832"
1284,nm0952498,zbigniew zamachowski,"tt0228750,tt0111507,tt0111495,tt0108394"
1285,nm0000614,alan rickman,"tt0408236,tt0102798,tt1201607,tt0095016"
1286,nm0001817,reginald veljohnson,"tt0096579,tt0095016,tt0099423,tt0087332"
1287,nm0000592,pete postlethwaite,"tt0840361,tt0119567,tt0114814,tt1375666"
1288,nm0000669,fred thompson,"tt0109190,tt0099810,tt1922777,tt0093640"
1289,nm0165961,terence a. clegg,"tt0119395,tt0066921,tt0089755,tt0103939"
1290,nm0590731,john omirah miluwi,tt0095243
1291,nm0496628,patrice ledoux,"tt0095250,tt1877832,tt0119116,tt0151137"
1292,nm0000906,annette bening,"tt4385888,tt0099703,tt0842926,tt0169547"
1293,nm0945290,kôichi yamadera,"tt0107692,tt0347246,tt0275277,tt0113568"
1294,nm0003080,rachel talalay,"tt0114614,tt1475582,tt7569592,tt0101917"
1295,nm0928111,george p. wilbur,"tt0177971,tt0082340,tt0095016,tt0100802"
1296,nm0857201,brynn thayer,"tt2334873,tt3205802,tt2249007"
1297,nm0151925,simon channing williams,"tt1045670,tt0387131,tt0117589,tt0107653"
1298,nm0785029,michael seresin,"tt3450958,tt2103281,tt1454468,tt0120749"
1299,nm0277704,wendy finerman,"tt0116277,tt0303933,tt0109830,tt1598828"
1300,nm0851302,tsutomu tatsumi,tt0095327
1301,nm0794186,ayano shiraishi,tt0095327
1302,nm0361701,toru hara,"tt0095327,tt0087544,tt0092067,tt0102587"
1303,nm0004355,roger ashton-griffiths,"tt4575576,tt0088846,tt0944947,tt0217505"
1304,nm0371579,jim haynie,"tt0080749,tt0119874,tt0091790,tt0112579"
1305,nm0000235,uma thurman,"tt0118688,tt0378194,tt0266697,tt0110912"
1306,nm0158014,stephen chiodo,"tt0090887,tt0372588,tt0095444,tt0319343"
1307,nm0134922,peter capaldi,"tt0436992,tt0816711,tt0459159,tt1109624"
1308,nm0420955,richard jenkins,"tt0838283,tt0857191,tt5580390,tt0887883"
1309,nm0002056,christine ebersole,"tt0086879,tt0993846,tt0139668,tt0110989"
1310,nm0493684,paul lazar,"tt0368008,tt0468492,tt1706620,tt0102926"
1311,nm0768324,edward saxon,"tt0102926,tt0268126,tt0107818,tt1176740"
1312,nm0004989,alyson hannigan,"tt0163651,tt1605630,tt0118276,tt0460649"
1313,nm0408214,william j. immerman,"tt0318649,tt1073241,tt0443465,tt0350258"
1314,nm0005055,billy joel,"tt5727208,tt0104694,tt2704998,tt0095776"
1315,nm0780117,george scribner,"tt0082509,tt0088814,tt0095776,tt0110357"
1316,nm0001634,cch pounder,"tt0499549,tt1538403,tt0107978,tt0286486"
1317,nm0000609,ving rhames,"tt0110912,tt0163988,tt0120755,tt3896198"
1318,nm0004920,frances fisher,"tt1189340,tt0120338,tt0139668,tt0105695"
1319,nm0382110,david hewlett,"tt0123755,tt0374455,tt1318514,tt5580390"
1320,nm0001557,viggo mortensen,"tt0167261,tt3553976,tt0765443,tt0167260"
1321,nm0935644,stan winston,"tt0090605,tt0103064,tt0099487,tt0107290"
1322,nm0451148,aamir khan,"tt0986264,tt5074352,tt2338151,tt0169102"
1323,nm0846681,dalip tahil,"tt0083987,tt0106333,tt1562871,tt2356180"
1324,nm0596520,gerald r. molen,"tt0095953,tt0119567,tt0108052,tt0107290"
1325,nm0000123,george clooney,"tt1193138,tt1124035,tt2177771,tt0465538"
1326,nm0175814,frances conroy,"tt0248654,tt0327554,tt7286456,tt1179069"
1327,nm0388061,douglas hodge,"tt0955308,tt7286456,tt1073105,tt1025100"
1328,nm0002064,giancarlo esposito,"tt0903747,tt0114814,tt3040964,tt4046784"
1329,nm0161980,jude ciccolella,"tt0285331,tt0104348,tt0362227,tt0253754"
1330,nm0001525,john c. mcginley,"tt0285403,tt0102685,tt0091763,tt0114369"
1331,nm0002668,george 'buck' flower,"tt0088172,tt0088763,tt0114852,tt0096256"
1332,nm1566098,ned lott,"tt0347149,tt0385700,tt0087544,tt0449088"
1333,nm0004669,laura albert,"tt2005151,tt1586680,tt0840361,tt0413573"
1334,nm0048589,joe baker,"tt0101516,tt0107977,tt0114148,tt0109686"
1335,nm0281486,charles fleischer,"tt0087800,tt0096874,tt0096438,tt0443706"
1336,nm0939182,kar-wai wong,"tt0109424,tt1462900,tt0212712,tt0118694"
1337,nm0926824,douglas wick,"tt0418763,tt0172495,tt1343092,tt0397535"
1338,nm0268763,ron fassler,"tt0103956,tt0418689,tt0472062,tt0409459"
1339,nm0915989,hugo weaving,"tt0109045,tt0434409,tt0120737,tt0167260"
1340,nm0265067,bill fagerbakke,"tt2279373,tt0206512,tt0460649,tt0345950"
1341,nm0143295,max casella,"tt1619029,tt2042568,tt5788792,tt2334873"
1342,nm0331341,tamara gorski,"tt1458175,tt0119731,tt0162065,tt0114681"
1343,nm0912916,kiersten warren,"tt0337563,tt0182789,tt0116629,tt0410975"
1344,nm0507270,howard lew lewis,"tt0103939,tt0102798,tt0180073,tt0088846"
1345,nm0249507,mike edmonds,"tt0080745,tt0081633,tt0086190,tt0096438"
1346,nm0889338,rupert vansittart,"tt0109831,tt0112573,tt0107943,tt0944947"
1347,nm0741714,tim rose,"tt2527336,tt2488496,tt0086190,tt0091225"
1348,nm0681975,ronald pickup,"tt0091530,tt0473075,tt4555426,tt1412386"
1349,nm0922335,samuel west,"tt4555426,tt0338526,tt0104454,tt0125439"
1350,nm0370677,megumi hayashibara,"tt0190641,tt0851578,tt0112159,tt0169858"
1351,nm0144657,dan castellaneta,"tt0117705,tt1650062,tt0096697,tt0462538"
1352,nm0006669,william sadler,"tt0101452,tt0884328,tt0111161,tt0099423"
1353,nm0110735,roy brocksmith,"tt0098439,tt0100802,tt0101452,tt0098621"
1354,nm0242026,lindsay duncan,"tt0328589,tt2194499,tt4481414,tt2562232"
1355,nm0122238,leo burmester,"tt0118971,tt0107808,tt0116905,tt0096754"
1356,nm0512746,van ling,"tt0119654,tt0120201,tt0103064,tt0096754"
1357,nm0001631,sarah polley,"tt0139239,tt0363547,tt0314412,tt0120255"
1358,nm0473941,dan kuenster,"tt0095489,tt0084649,tt0090633,tt0096787"
1359,nm0000671,billy bob thornton,"tt0120324,tt0243133,tt0117666,tt0219965"
1360,nm0001855,thomas f. wilson,"tt0099088,tt0096874,tt2404463,tt0088763"
1361,nm0504897,tony chiu-wai leung,"tt0118694,tt1462900,tt0212712,tt0338564"
1362,nm0000687,j.t. walsh,"tt0093105,tt0118771,tt0117666,tt0104257"
1363,nm0472256,scott kroopf,"tt0113497,tt1219289,tt0325710,tt0096928"
1364,nm0003864,michael s. murphey,"tt0096928,tt0089686,tt1136608,tt1343727"
1365,nm0362222,jerry hardin,"tt0090728,tt0085382,tt0106179,tt0106918"
1366,nm0765605,gailard sartain,"tt0191397,tt0086066,tt0095647,tt0101921"
1367,nm0367496,don harvey,"tt4998350,tt0097027,tt2446042,tt3032476"
1368,nm0000604,john c. reilly,"tt0118749,tt0841046,tt0299658,tt2015381"
1369,nm0441537,andreas katsulas,"tt0106977,tt0107144,tt0116253,tt0105946"
1370,nm0077007,bill bernstein,"tt0169547,tt0910970,tt0257044,tt1074638"
1371,nm0000093,brad pitt,"tt0114746,tt0356910,tt2935510,tt1210166"
1372,nm0353187,steven haft,"tt0170691,tt0107120,tt0097165,tt0116191"
1373,nm0548410,patrick markey,"tt0105265,tt5071412,tt0206314,tt0114214"
1374,nm0012557,ljubica adzovic,"tt0118843,tt0097223"
1375,nm0368107,husnija hasimovic,tt0097223
1376,nm0917059,nick wechsler,"tt1915581,tt0180093,tt1441395,tt0898367"
1377,nm0000965,danny boyle,"tt1010048,tt1542344,tt0289043,tt0111149"
1378,nm0906901,chris walas,"tt0087363,tt0091064,tt0089092,tt0082971"
1379,nm0574615,graham mctavish,"tt2310332,tt1170358,tt0903624,tt0462499"
1380,nm0387987,kane hodder,"tt0340855,tt0422401,tt0287978,tt0114369"
1381,nm0000213,winona ryder,"tt0097493,tt0099487,tt0110367,tt0172493"
1382,nm0864997,stephen tobolowsky,"tt0209144,tt0094012,tt0107048,tt0105414"
1383,nm0001147,shannen doherty,"tt0113749,tt0158552,tt0084649,tt0098749"
1384,nm0499724,michael lehmann,"tt0243736,tt0102070,tt1844624,tt0097493"
1385,nm0224145,denise di novi,"tt0109707,tt0116683,tt0097493,tt3281548"
1386,nm0788935,bruce sharman,"tt0060176,tt0097499,tt0080684,tt0076759"
1387,nm0277896,penney finkelman cox,"tt0417148,tt0120794,tt0092699,tt0126029"
1388,nm0002653,joe johnston,"tt0082971,tt0458339,tt0102803,tt0132477"
1389,nm0934447,david wimbury,"tt0289992,tt0101605,tt0094336,tt0077928"
1390,nm0898546,pruitt taylor vince,"tt0095647,tt0171580,tt0360486,tt0309698"
1391,nm0791395,sloane shelton,"tt0078754,tt0161081,tt0183659,tt0074119"
1392,nm0842470,ezra swerdlow,"tt0094012,tt1232829,tt1156398,tt0455944"
1393,nm0326512,steve golin,"tt0338013,tt0120601,tt1663202,tt1895587"
1394,nm0797451,sigurjon sighvatsson,"tt0765010,tt0862467,tt0100935,tt5362988"
1395,nm0740264,michael rooker,"tt3896198,tt0439815,tt2015381,tt0099763"
1396,nm0001108,robert davi,"tt0097742,tt0095016,tt2333784,tt0089218"
1397,nm0000508,carey lowell,"tt0097742,tt0098844,tt0108160,tt0113627"
1398,nm0072533,jodi benson,"tt0097757,tt0461770,tt5848272,tt0435761"
1399,nm0338572,richard greenberg,"tt0253754,tt1226273,tt0093773,tt0080745"
1400,nm0484739,sonny landham,"tt0083511,tt0097770,tt0093773,tt0080120"
1401,nm0000379,kirsten dunst,"tt1527186,tt0145487,tt0110367,tt0110148"
1402,nm0774749,jane schonberger,tt0097814
1403,nm0808511,irby smith,"tt0097815,tt0096487,tt0073486,tt0092005"
1404,nm0475640,robert kurcz,"tt0097351,tt0120784,tt0086200,tt0120873"
1405,nm0002084,brenda fricker,"tt0108174,tt0104431,tt0117913,tt0097937"
1406,nm0006487,jim sheridan,"tt0097937,tt0107207,tt0765010,tt0298845"
1407,nm0000496,juliette lewis,"tt0116367,tt0101540,tt1322269,tt0110632"
1408,nm0154819,jeremiah s. chechik,"tt0097958,tt0106387,tt0397442"
1409,nm0298281,kurt fuller,"tt0097428,tt1605783,tt0305224,tt0105793"
1410,nm0001474,tommy 'tiny' lister,"tt0468569,tt0119116,tt2948356,tt0113118"
1411,nm0942869,thomas j. wright,"tt0285333,tt0091225,tt0066769,tt0086960"
1412,nm0137114,timothy carhart,"tt0106179,tt0115697,tt0103074"
1413,nm0436543,robert mark kamen,"tt0293662,tt0936501,tt0097647,tt0119116"
1414,nm0460694,robert knepper,"tt1129442,tt1951266,tt0455275,tt0465494"
1415,nm0001081,cameron crowe,"tt0181875,tt0105415,tt0116695,tt0259711"
1416,nm0686895,polly platt,"tt0098621,tt0098258,tt0092699,tt0086425"
1417,nm0000403,bridget fonda,"tt0105414,tt0139414,tt0120324,tt0119396"
1418,nm0834870,louis a. stroller,"tt0117500,tt0106519,tt0069762,tt0098273"
1419,nm0000228,kevin spacey,"tt0114369,tt0119488,tt0169547,tt0114814"
1420,nm0004517,jason alexander,"tt0106598,tt0116583,tt0098904,tt0100405"
1421,nm0359734,michael haneke,"tt1602620,tt0387898,tt0119167,tt1149362"
1422,nm0374002,veit heiduschka,"tt0254686,tt1149362,tt0387898,tt1602620"
1423,nm0445992,sheila kelley,"tt0117247,tt0325805,tt2980592,tt0105415"
1424,nm0000668,emma thompson,"tt0314331,tt2140373,tt0114388,tt0104454"
1425,nm0916986,paul webster,"tt0765443,tt0783233,tt0414387,tt1781769"
1426,nm0404991,john w. hyde,"tt0093437,tt0082096,tt0365907,tt0091059"
1427,nm0000346,macaulay culkin,"tt0107034,tt0102492,tt0099785,tt0104431"
1428,nm0000451,gaby hoffmann,"tt0116242,tt0097351,tt0098554,tt0114011"
1429,nm0001752,steven soderbergh,"tt0098724,tt1291580,tt0195685,tt0181865"
1430,nm0362675,john hardy,"tt0240772,tt0120780,tt0165854,tt0098724"
1431,nm0000580,luke perry,"tt0119116,tt0103893,tt7131622,tt0098749"
1432,nm0482141,don lake,"tt2948356,tt2096672,tt9612516"
1433,nm1547964,richard ayoade,"tt1825157,tt0487831,tt0787474,tt1440292"
1434,nm0236519,brian doyle-murray,"tt0105793,tt0097958,tt0080487,tt0102138"
1435,nm0607375,david morrissey,"tt1520211,tt1684233,tt1020558,tt0467200"
1436,nm0376890,leslie hendrix,"tt3749900,tt0275140,tt0098844,tt1334512"
1437,nm0862907,andrew tiernan,"tt1253863,tt0253474,tt0416449,tt1971325"
1438,nm0001431,wayne knight,"tt0107290,tt0092890,tt0098904,tt0103772"
1439,nm1752076,norman brenner,"tt0098904,tt0264235"
1440,nm0842056,heidi swedberg,"tt0098904,tt0259288,tt0102059,tt0177789"
1441,nm0419645,tony jay,"tt0116583,tt0101414,tt0096320,tt0081633"
1442,nm0002006,thomas haden church,"tt0413300,tt1282140,tt0108358,tt0375063"
1443,nm0001724,tony shalhoub,"tt0243133,tt0177789,tt1291150,tt0312172"
1444,nm0024596,don amendolia,"tt0109707,tt0114887,tt0118749,tt0093936"
1445,nm0820053,june squibb,"tt0257360,tt10682266,tt0119360,tt1821549"
1446,nm0000480,elias koteas,"tt0822854,tt0114194,tt0120863,tt0115964"
1447,nm0004886,bill duke,"tt0376994,tt6998518,tt0088944,tt0093773"
1448,nm0001104,frank darabont,"tt0120689,tt0884328,tt0111161,tt1520211"
1449,nm0358411,thomas m. hammel,"tt6320628,tt2103281,tt0319262,tt0477347"
1450,nm0661910,nick park,"tt0104361,tt0120630,tt0312004,tt0108598"
1451,nm0001295,graham greene,"tt0120689,tt5362988,tt0110478,tt0099348"
1452,nm0933604,jim wilson,"tt0119925,tt0111756,tt0099348,tt0103855"
1453,nm0330687,joseph gordon-levitt,"tt1375666,tt1276104,tt2229499,tt1306980"
1454,nm0877185,joe turkel,"tt0050825,tt0049406,tt0081505,tt0083658"
1455,nm0001282,tony goldwyn,"tt0844708,tt0325710,tt0099653,tt0472399"
1456,nm0001564,bebe neuwirth,"tt0083399,tt0113497,tt0162677,tt0251127"
1457,nm0248981,gregg edelman,"tt1041829,tt0097123,tt0316654,tt0404203"
1458,nm0613197,jan munroe,"tt0264464,tt0409182,tt1950186,tt0099703"
1459,nm0656883,jim painter,tt0099703
1460,nm0783280,joanne sellar,"tt0175880,tt0469494,tt1560747,tt0118749"
1461,nm0442239,peter kaufman,"tt0086197,tt0107969,tt0180073,tt0096332"
1462,nm0105280,betsy brantley,"tt0093779,tt0096438,tt0120647,tt0150377"
1463,nm0190023,julee cruise,"tt0090756,tt4093826,tt0105665,tt0117571"
1464,nm0921128,john wentworth,"tt0105665,tt0090756,tt0100935,tt0166924"
1465,nm0186315,brandon crane,"tt0094582,tt0099864,tt7349950"
1466,nm0002023,matt craven,"tt1270798,tt0104257,tt0099871,tt0112740"
1467,nm0034519,victor argo,"tt0165798,tt0099939,tt0091828,tt0095497"
1468,nm0437391,mary kane,"tt0089853,tt0103759,tt0124298,tt0099939"
1469,nm0937262,stan wlodkowski,"tt3967856,tt0465580,tt2543164,tt7556122"
1470,nm0001267,balthazar getty,"tt0100054,tt0426459,tt0116922,tt0100994"
1471,nm0197647,james badge dale,"tt1300854,tt0816711,tt4172430,tt0407887"
1472,nm0088647,scotty bloch,"tt0085794,tt0196216,tt0116242,tt0118954"
1473,nm0424574,bernard johnson,"tt1095217,tt0091474,tt1214962,tt0285742"
1474,nm0228908,leslie dixon,"tt0427327,tt0322330,tt2267998,tt1219289"
1475,nm0000870,kathy bates,"tt0119942,tt0120338,tt0109642,tt0100157"
1476,nm0397124,arliss howard,"tt0452694,tt0119567,tt1210166,tt0093058"
1477,nm0000349,joan cusack,"tt1659337,tt0096463,tt0119229,tt0119360"
1478,nm0516056,lauren lloyd,"tt0187393,tt0337921,tt0119314,tt0116250"
1479,nm0629950,wallis nicita,"tt0090022,tt0079116,tt0086567,tt0120828"
1480,nm0001315,marcia gay harden,"tt0327056,tt0183659,tt0758758,tt0884328"
1481,nm0003464,bernt amadeus capra,"tt0319969,tt0108550,tt0088258,tt0438315"
1482,nm0055988,steve barnett,"tt1080016,tt0454876,tt0375063,tt0337978"
1483,nm0000648,wesley snipes,"tt0106697,tt0120611,tt0102526,tt0105812"
1484,nm0322513,iain glen,"tt0432021,tt2592614,tt0944947,tt0146316"
1485,nm0865302,tony todd,"tt0103919,tt0109506,tt0756683,tt0100258"
1486,nm0553355,gabriella martinelli,"tt0117509,tt0102511,tt0462335,tt0094964"
1487,nm0132610,julia campbell,"tt0384642,tt0120032,tt0773262,tt1489428"
1488,nm0330428,mark gordon,"tt0945513,tt0120815,tt0790712,tt0319262"
1489,nm0498280,stephen lee,"tt0120768,tt1126591,tt0093378,tt0086567"
1490,nm0827840,sandy stern,"tt0120879,tt0332375,tt0120601,tt0100436"
1491,nm0291442,howard franklin,"tt1053810,tt0091605,tt0120483,tt0218817"
1492,nm0125186,hendel butoy,"tt0095776,tt0091149,tt0100477,tt0082406"
1493,nm0001015,robert carlyle,"tt0119164,tt0143145,tt0129332,tt0117951"
1494,nm0085542,todd black,"tt0427309,tt0168786,tt2671706,tt0814314"
1495,nm0323065,liz glotzer,"tt1704573,tt0488120,tt1433108,tt0884328"
1496,nm0504434,david v. lester,"tt0379786,tt0076759,tt0094812,tt0111161"
1497,nm0000588,martha plimpton,"tt0091557,tt0115639,tt0098067,tt0089218"
1498,nm0235684,ned dowd,"tt0076723,tt0472043,tt0104691,tt0245844"
1499,nm0656929,josh pais,"tt0100758,tt0385887,tt7286456,tt2249007"
1500,nm0286335,david forman,"tt0944947,tt0100758,tt0325710,tt1074638"
1501,nm0591450,rob minkoff,"tt0865556,tt0110357,tt0095776,tt0243585"
1502,nm0293422,j.e. freeman,"tt0100935,tt0118583,tt0100150,tt0105112"
1503,nm0279557,jasen fisher,"tt0098067,tt0100944,tt0102057"
1504,nm0542706,danny mann,"tt0112431,tt0112453,tt0114148,tt1049413"
1505,nm0001876,catherine zeta-jones,"tt0137494,tt0120746,tt0299658,tt0181865"
1506,nm0067497,doris belack,"tt0092494,tt0103241,tt0084805,tt0387514"
1507,nm0005189,jason marsden,"tt0107120,tt1641384,tt0113198,tt0245429"
1508,nm0000741,tim allen,"tt0111070,tt0114709,tt0177789,tt0101120"
1509,nm0151419,kyle chandler,"tt1650062,tt0758745,tt1024648,tt4034228"
1510,nm0627624,george newbern,"tt0275137,tt0101862,tt0113041,tt1837576"
1511,nm0694066,clifton powell,"tt0118956,tt0120812,tt0350258,tt0195945"
1512,nm0004937,jamie foxx,"tt0350258,tt0369339,tt0443489,tt1853728"
1513,nm0199317,hugh dane,"tt0970866,tt0386676,tt1478338,tt0206314"
1514,nm0047358,kirk baily,"tt4701182,tt1318514,tt1877832,tt4779682"
1515,nm0564669,mitzi mccall,"tt0268380,tt1262981,tt0131369,tt2554274"
1516,nm0435678,patricia kalember,"tt0286106,tt0099871,tt1219289,tt0935075"
1517,nm0000688,sela ward,"tt0106977,tt1628841,tt2267998,tt0814335"
1518,nm0388872,elizabeth hoffman,"tt0118480,tt0110997,tt0118928,tt0096969"
1519,nm0130107,r.d. call,"tt0096969,tt0114898,tt0116830,tt0758758"
1520,nm0740535,stephen root,"tt5348176,tt0364725,tt0118375,tt0151804"
1521,nm0675887,frank pesce,"tt0095631,tt0086960,tt1251757,tt0092644"
1522,nm0001999,maury chaykin,"tt0104952,tt0099348,tt0119715,tt0086567"
1523,nm0792177,jamey sheridan,"tt1895587,tt3263904,tt0119349,tt0275140"
1524,nm0005265,kevin nealon,"tt0120888,tt0439100,tt0456554,tt0116483"
1525,nm0181425,jesse corti,"tt3276924,tt0101414,tt2948356,tt2294629"
1526,nm0873779,gary trousdale,"tt0101414,tt0110357,tt0230011,tt0116583"
1527,nm0936374,kirk wise,"tt0230011,tt0116583,tt0245429,tt0101414"
1528,nm0000363,loren dean,"tt0120660,tt0098258,tt0186566,tt0112384"
1529,nm0000421,cuba gooding jr.,"tt0116695,tt0114069,tt0101507,tt0316465"
1530,nm0015677,hudhail al-amir,tt0101507
1531,nm0630222,steve nicolaides,"tt0098635,tt0356618,tt0104257,tt0101507"
1532,nm0001844,frank whaley,"tt0110912,tt0101761,tt0115759,tt0452702"
1533,nm0000194,julianne moore,"tt0842926,tt3316960,tt0297884,tt0175880"
1534,nm0579116,stephen mendillo,"tt0116905,tt1655442,tt0092699,tt0076723"
1535,nm0654110,clive owen,"tt0376541,tt0454848,tt0206634,tt0280707"
1536,nm0448204,maria doyle kennedy,"tt0101605,tt0773262,tt0758790,tt2234222"
1537,nm0897794,reynaldo villalobos,"tt0479537,tt0078966,tt0806203,tt0093894"
1538,nm0927880,lionel wigram,"tt3183660,tt1972591,tt1638355,tt0988045"
1539,nm0652226,claudie ossard,"tt0101700,tt0106307,tt0211915,tt1964624"
1540,nm0000689,julie warner,"tt0101745,tt0099582,tt0430634,tt0114694"
1541,nm0628226,peter newman,"tt0165832,tt0100054,tt0114478,tt0367089"
1542,nm0001393,irène jacob,"tt0101765,tt0092593,tt0111495,tt0120873"
1543,nm0905357,steven waddington,"tt0104691,tt0162661,tt0758790,tt2084970"
1544,nm0908116,polly walker,"tt0384766,tt0116191,tt0800320,tt0401729"
1545,nm0117035,adam bryant,"tt0364343,tt0278504,tt0107614,tt0119217"
1546,nm3051240,paul lombardi,tt0101889
1547,nm0502015,harry lennix,"tt2975590,tt0770828,tt0234215,tt0350258"
1548,nm0628601,thandie newton,"tt0120755,tt0375679,tt0475784,tt0454921"
1549,nm0001447,nathan lane,"tt0395251,tt0110357,tt0119715,tt0115685"
1550,nm0912403,aron warner,"tt0120587,tt0298148,tt0126029,tt0413267"
1551,nm0654077,alison owen,"tt0435651,tt0365748,tt2140373,tt0127536"
