,nconst,primaryName,knownForTitles
80,nm0007042,herbert lom,"tt0085407,tt0054331,tt0058586,tt0075066"
81,nm0818545,sam spiegel,"tt0056172,tt0050212,tt0043265,tt0047296"
82,nm0796923,don siegel,"tt0049366,tt0066999,tt0079116,tt0067588"
83,nm0000277,richard attenborough,"tt0083987,tt0110527,tt0107290,tt0057115"
84,nm0159258,cyril cusack,"tt0104231,tt0069947,tt0087803,tt0060390"
85,nm0005467,jerry stiller,"tt0098904,tt0196229,tt0408839,tt0427327"
86,nm0001013,harry carey jr.,"tt0087363,tt0108358,tt0099528,tt0099088"
87,nm0000019,federico fellini,"tt0071129,tt0053779,tt0056801,tt0050783"
88,nm0537363,richard maibaum,"tt0058150,tt0097742,tt0059800,tt0076752"
89,nm0000946,whit bissell,"tt0046876,tt0070723,tt0054387,tt0054047"
90,nm0634282,jeanette nolan,"tt0045555,tt0076618,tt0082406,tt0056217"
91,nm0001536,toshirô mifune,"tt0047478,tt0055630,tt0056443,tt0057565"
92,nm0001544,ricardo montalban,"tt0338459,tt0067065,tt0095705,tt0084726"
93,nm0179786,jeff corey,"tt0065988,tt0064115,tt0065462,tt0065126"
94,nm0172615,ray collins,"tt0052311,tt0033467,tt0035015,tt0036868"
95,nm0370144,jack hawkins,"tt0050212,tt0052618,tt0056172,tt0058777"
96,nm0001330,sterling hayden,"tt0070334,tt0068646,tt0049406,tt0057012"
97,nm0271658,verna felton,"tt0048280,tt0053285,tt0042332,tt0043274"
98,nm0000032,charlton heston,"tt0070723,tt0063442,tt0052618,tt0049833"
99,nm0000040,stanley kubrick,"tt0062622,tt0066921,tt0072684,tt0120663"
100,nm0001588,jack palance,"tt0101587,tt0098439,tt0057345,tt0046303"
101,nm0554249,andrew marton,"tt0069947,tt0065938,tt0056197,tt0052618"
102,nm0000008,marlon brando,"tt0070849,tt0078788,tt0047296,tt0068646"
103,nm0423122,minoru jingo,tt0042876
104,nm0603682,andré morell,"tt0052618,tt0074896,tt0077869,tt0050212"
105,nm1616237,joseph a. mayer,tt0043208
106,nm0562474,michael mayer,tt0043208
107,nm0853576,ray teal,"tt0055031,tt0053946,tt0043338,tt0036868"
108,nm0001453,piper laurie,"tt0098936,tt0054997,tt0074285,tt0133751"
109,nm0638528,christian nyby,"tt0044121,tt0038355,tt0040724,tt0037382"
110,nm0000038,grace kelly,"tt0048728,tt0044706,tt0047396,tt0046912"
111,nm0001186,denholm elliott,"tt0097576,tt0082971,tt0086465,tt0091867"
112,nm0382548,winston hibler,"tt0043274,tt0046183,tt0042332,tt0053285"
113,nm0859892,bill thompson,"tt0046183,tt0053285,tt0043274,tt0048280"
114,nm0000030,audrey hepburn,"tt0054698,tt0058385,tt0046250,tt0056923"
115,nm0001620,slim pickens,"tt0068638,tt0057012,tt0071230,tt0078723"
116,nm0690638,carlo ponti,"tt0047528,tt0057345,tt0060176,tt0059113"
117,nm0209569,dino de laurentiis,"tt0047528,tt0080745,tt0050783,tt0087262"
118,nm0000314,charles bronson,"tt0057115,tt0064116,tt0054047,tt0071402"
